date,sp500,nikkei225,hangseng
2001-04-04,1103.25,13242.78,12063.7
2001-04-05,1151.44,13381.38,
2001-04-06,1128.43,13383.76,12386.6
2001-04-09,1137.59,12841.76,12202.1
2001-04-10,1168.38,12620.27,12213.7
2001-04-11,1165.89,13174.93,12706.4
2001-04-12,1183.5,13352.44,12989.5
2001-04-16,1179.68,13254.89,
2001-04-17,1191.81,13067.09,12606.5
2001-04-18,1238.16,13641.79,12972.8
2001-04-19,1253.69,13868.28,13549.0
2001-04-20,1242.98,13765.67,13448.1
2001-04-23,1224.36,13715.6,13311.5
2001-04-24,1209.47,13743.18,13274.6
2001-04-25,1228.75,13827.5,13249.5
2001-04-26,1234.52,13973.03,13293.1
2001-04-27,1253.05,13934.32,13386.0
2001-04-30,1249.46,,
2001-05-01,1266.44,14425.46,
2001-05-02,1267.43,14421.64,13814.2
2001-05-03,1248.58,,13708.1
2001-05-04,1266.61,,13391.0
2001-05-07,1263.51,14529.41,13600.8
2001-05-08,1261.2,14289.05,13540.8
2001-05-09,1255.54,14084.85,13585.1
2001-05-10,1255.18,14017.79,13604.8
2001-05-11,1245.67,14043.92,13636.6
2001-05-14,1248.92,13873.02,13259.2
2001-05-15,1249.44,14054.03,13250.1
2001-05-16,1284.99,13694.27,13336.0
2001-05-17,1288.49,13910.67,13637.9
2001-05-18,1291.96,13877.77,13459.2
2001-05-21,1312.83,14176.83,13721.3
2001-05-22,1309.38,14091.19,13878.0
2001-05-23,1289.05,14067.7,13839.1
2001-05-24,1293.17,13895.79,13810.6
2001-05-25,1277.89,13765.92,13754.0
2001-05-29,1267.93,13773.89,13629.6
2001-05-30,1248.08,13493.35,13420.1
2001-05-31,1255.82,13262.14,13174.4
2001-06-01,1260.67,13261.84,13141.4
2001-06-04,1267.11,13312.35,13207.5
2001-06-05,1283.57,13191.01,13253.4
2001-06-06,1270.03,13174.84,13576.0
2001-06-07,1276.96,13277.51,13703.4
2001-06-08,1264.96,13430.22,13808.9
2001-06-11,1254.39,13226.48,13675.5
2001-06-12,1255.85,12840.1,13526.7
2001-06-13,1241.6,12823.45,13523.3
2001-06-14,1219.87,12846.66,13248.9
2001-06-15,1214.36,12790.38,13102.5
2001-06-18,1208.43,12697.79,12948.8
2001-06-19,1212.58,12574.26,13133.7
2001-06-20,1223.14,12674.64,12918.7
2001-06-21,1237.04,12962.43,13187.5
2001-06-22,1225.35,13044.61,13174.0
2001-06-25,1218.6,12896.47,
2001-06-26,1216.76,12978.82,12962.0
2001-06-27,1211.07,12828.98,13004.2
2001-06-28,1226.2,12679.88,12827.8
2001-06-29,1224.38,12969.05,13042.5
2001-07-02,1236.72,12751.18,13042.5
2001-07-03,1234.45,12817.41,13184.8
2001-07-05,1219.24,12607.3,12999.5
2001-07-06,1190.59,12306.08,
2001-07-09,1198.78,12239.68,12648.6
2001-07-10,1181.52,12300.41,12713.9
2001-07-11,1180.18,12005.11,12527.9
2001-07-12,1208.14,12407.95,12660.2
2001-07-13,1215.68,12355.15,12612.8
2001-07-16,1202.45,12343.37,12624.5
2001-07-17,1214.44,12128.57,12495.2
2001-07-18,1207.71,11892.58,12427.2
2001-07-19,1215.02,11908.39,12427.2
2001-07-20,1210.85,,12301.7
2001-07-23,1191.03,11609.63,12236.5
2001-07-24,1171.65,11883.25,12214.1
2001-07-25,1190.49,11891.61,
2001-07-26,1202.93,11858.56,12039.8
2001-07-27,1205.82,11798.08,12182.2
2001-07-30,1204.52,11572.23,12083.5
2001-07-31,1211.23,11860.77,12316.7
2001-08-01,1215.93,11959.33,12478.7
2001-08-02,1220.75,12399.2,12466.4
2001-08-03,1214.35,12241.97,12311.4
2001-08-06,1200.48,12243.9,12212.8
2001-08-07,1204.4,12319.46,12007.2
2001-08-08,1183.53,12163.67,11958.0
2001-08-09,1183.43,11754.56,11716.8
2001-08-10,1190.16,11735.06,11765.8
2001-08-13,1191.29,11477.56,11694.3
2001-08-14,1186.73,11917.95,11991.0
2001-08-15,1178.02,11755.4,12141.6
2001-08-16,1181.66,11515.02,11832.4
2001-08-17,1161.97,11445.54,11754.8
2001-08-20,1171.41,11257.94,11458.7
2001-08-21,1157.26,11280.38,11440.3
2001-08-22,1165.31,11396.43,11188.6
2001-08-23,1162.09,11126.92,11345.4
2001-08-24,1184.93,11166.31,11110.3
2001-08-27,1179.21,11275.01,11234.7
2001-08-28,1161.51,11189.4,11300.5
2001-08-29,1148.56,10979.76,11242.4
2001-08-30,1129.03,10938.45,11315.6
2001-08-31,1133.58,10713.51,11090.5
2001-09-04,1132.94,10772.59,11136.9
2001-09-05,1131.74,10598.79,10943.1
2001-09-06,1106.4,10650.33,10664.3
2001-09-07,1085.78,10516.79,10384.2
2001-09-10,1092.54,10195.69,10366.3
2001-09-17,1038.77,9504.41,9319.35
2001-09-18,1032.74,9679.88,9307.9
2001-09-19,1016.1,9939.6,9558.15
2001-09-20,984.54,9785.16,9317.98
2001-09-21,965.8,9554.99,8934.2
2001-09-24,1003.45,,9284.5
2001-09-25,1012.27,9693.97,9210.06
2001-09-26,1007.04,9641.7,9371.75
2001-09-27,1018.61,9696.53,9600.79
2001-09-28,1040.94,9774.68,9950.7
2001-10-01,1038.55,9972.28,
2001-10-02,1051.33,10136.56,
2001-10-03,1072.28,9924.23,9897.14
2001-10-04,1069.63,10205.48,10286.4
2001-10-05,1071.38,10205.87,10277.4
2001-10-08,1062.44,,9967.83
2001-10-09,1056.75,10011.77,10358.9
2001-10-10,1080.99,9964.88,10298.2
2001-10-11,1097.43,10347.01,10522.6
2001-10-12,1091.65,10632.35,10274.1
